Altium Designer Pick and Place Locations
C:\ELI\lpc55s69_mini\PCB REV B\BUILD\LPC55S69_MINI-[B]\LPC55S69_MINI-[B] Pick-Place.csv

========================================================================================================================
File Design Information:

Date:       10/06/20
Time:       20:53
Revision:   f053c9e2c68dd0082fa33437c19e1f5fbddc1c4f
Variant:    B
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R7","10k","TopLayer","R0402_0.40MM_MD","462.053","-701.257","0","RES 10K OHM 1/10W 1% 0402 SMD"
"TP2","SMT_TEST","TopLayer","SMT_TP_-_25","164.853","-366.111","0",""
"TP1","SMT_TEST","TopLayer","SMT_TP_-_25","33.352","-188.319","0",""
"SW1","CHS-01TA","TopLayer","CHS-01TA","507.000","-1066.000","0","NIDEC COPAL ELECTRONICS - CHS-01TA - DIP SWITCH, 1POS, SPST, SLIDE, SMD"
"R1","33","TopLayer","R0603_0.55MM_MD","-712.000","-1042.000","360","RES 33 OHM 1/10W 1% 0603 SMD"
"P22","","TopLayer","CASTELLATED","-500.000","-1475.000","0",""
"P21","","TopLayer","CASTELLATED","-400.000","-1475.000","0",""
"P20","","TopLayer","CASTELLATED","-300.000","-1475.000","0",""
"P19","","TopLayer","CASTELLATED","-200.000","-1475.000","0",""
"P18","","TopLayer","CASTELLATED","-100.000","-1475.000","0",""
"P17","","TopLayer","CASTELLATED","0.000","-1475.000","0",""
"P16","","TopLayer","CASTELLATED","100.000","-1475.000","0",""
"P15","","TopLayer","CASTELLATED","200.000","-1475.000","0",""
"P14","","TopLayer","CASTELLATED","300.000","-1475.000","0",""
"P13","","TopLayer","CASTELLATED","400.000","-1475.000","0",""
"P12","","TopLayer","CASTELLATED","500.000","-1475.000","180",""
"P11","","TopLayer","CASTELLATED","500.000","0.000","180",""
"P10","","TopLayer","CASTELLATED","400.000","0.000","180",""
"P9","","TopLayer","CASTELLATED","300.000","0.000","180",""
"P8","","TopLayer","CASTELLATED","200.000","0.000","180",""
"P7","","TopLayer","CASTELLATED","100.000","0.000","180",""
"P6","","TopLayer","CASTELLATED","0.000","0.000","180",""
"P5","","TopLayer","CASTELLATED","-100.000","0.000","180",""
"P4","","TopLayer","CASTELLATED","-200.000","0.000","180",""
