Altium Designer Pick and Place Locations
C:\ELI\minimonkey-hw\PCB REV C\BUILD\LPC55S69_MINI-[C]\LPC55S69_MINI-[C] Pick-Place.csv

========================================================================================================================
File Design Information:

Date:       23/11/20
Time:       12:30
Revision:   86c2db94f9c79389b2a620b8b8412bdae25d166f
Variant:    C
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Manufacturer Part Number","Supplier 1","Supplier Part Number 1"
"R10","1k","TopLayer","R0402_0.40MM_MD","12.0650","11.6078","270","RES 1K OHM 1/10W 1% 0402 SMD","ERJ-2RKF1001X","Digi-Key","P1.00KLCT-ND"
"R9","1k","TopLayer","R0402_0.40MM_MD","13.1826","11.6332","270","RES 1K OHM 1/10W 1% 0402 SMD","ERJ-2RKF1001X","Digi-Key","P1.00KLCT-ND"
"R6","33","TopLayer","R0402_0.40MM_MD","22.7156","27.7622","180","RES 33 OHM 1/10W 1% 0402 SMD","ERJ-2RKF33R0X","Digi-Key","P33.0LCT-ND"
"R5","33","TopLayer","R0402_0.40MM_MD","22.7156","26.8358","180","RES 33 OHM 1/10W 1% 0402 SMD","ERJ-2RKF33R0X","Digi-Key","P33.0LCT-ND"
"R12","100","TopLayer","R0603_HD","13.3858","3.2512","180","RES 100 OHM 1/10W 1% 0603 SMD","ERJ-3EKF1000V","Digi-Key","P100HCT-ND"
"U8","ISL3176EIUZ-T","TopLayer","10_MSOP","13.0810","7.3066","270","IC TXRX RS422/485 20MBPS 10MSOP","ISL3176EIUZ-T","Digi-Key","ISL3176EIUZ-TCT-ND"
"SW1","CHS-01TA","TopLayer","CHS-01TA","12.5810","31.8008","360","NIDEC COPAL ELECTRONICS - CHS-01TA - DIP SWITCH, 1POS, SPST, SLIDE, SMD","CHS-01TA","Avnet","CHS-01TA"
"D3","BAT760-7","TopLayer","D_SOD-323_P","25.4000","34.7218","180","DIODE SCHOTTKY 30V 1A SOD323","BAT760-7","Digi-Key","BAT760DICT-ND"
"C3","10µF","TopLayer","C0805_1.45MM_MD","16.1290","34.0614","360","CAP CER 10UF 6.3V X7R 0805","CGA4J1X7R0J106K125AC","Digikey","445-6971-1-ND"
"Q2","NTR1P02T1G","TopLayer","SOT-23","-0.9144","8.8707","0","MOSFET P-CH 20V 1A SOT-23","NTR1P02T1G","Digi-Key","NTR1P02T1GOSCT-ND"
"D2","BAT760-7","TopLayer","D_SOD-323_P","16.8430","28.2983","180","DIODE SCHOTTKY 30V 1A SOD323","BAT760-7","Digi-Key","BAT760DICT-ND"
"C6","47pF","TopLayer","C0402_0.55MM_MD","15.2908","15.3924","90","CAP CER 47PF 50V C0G 0402","CGA2B2C0G1H470J050BA","Digikey","445-5592-1-ND"
"C5","0.1µF","TopLayer","C0402_0.55MM_MD","13.9446","15.4086","90","CAP CER 0.1UF 16V X7R 0402","CGA2B1X7R1C104K050BC","Digikey","445-5613-1-ND"
"C4","10µF","TopLayer","C0805_1.45MM_MD","11.3538","13.8176","360","CAP CER 10UF 6.3V X7R 0805","CGA4J1X7R0J106K125AC","Digikey","445-6971-1-ND"
"C2","10µF","TopLayer","C0805_1.45MM_MD","26.6954","31.8770","270","CAP CER 10UF 6.3V X7R 0805","CGA4J1X7R0J106K125AC","Digikey","445-6971-1-ND"
"C1","10µF","TopLayer","C0805_1.45MM_MD","23.7998","32.7660","360","CAP CER 10UF 6.3V X7R 0805","CGA4J1X7R0J106K125AC","Digikey","445-6971-1-ND"
"R3","10k","TopLayer","R0402_0.40MM_MD","20.9042","33.9090","270","RES 10K OHM 1/10W 1% 0402 SMD","ERJ-2RKF1002X","Digi-Key","P10.0KLCT-ND"
"R1","10k","TopLayer","R0402_0.40MM_MD","19.3200","33.9090","90","RES 10K OHM 1/10W 1% 0402 SMD","ERJ-2RKF1002X","Digi-Key","P10.0KLCT-ND"
"R11","10k","TopLayer","R0402_0.40MM_MD","15.2400","5.5419","270","RES 10K OHM 1/10W 1% 0402 SMD","ERJ-2RKF1002X","Digi-Key","P10.0KLCT-ND"
